Bezeichung,Kosten €,Durchmesser mm,Min. Biegeradius mm,Mechanische Zugfestigkeit N,Betriebstemperatur °C,Widerstand Ω,Spannungsfestigkeit kV
Kabel 6840,4.1,2.2,27.8,70,111,27,5.8
Kabel 6841,9.8,1.7,26.3,60,89,15,3.4
Kabel 6842,6.1,2.5,12.6,50,71,13,3.4
Kabel 6843,9.7,1.6,23.2,80,100,17,3.3
Kabel 6844,8.6,1.9,27,100,-10,23,4.4
Kabel 6845,2.8,2.1,23.7,60,139,17,3
Kabel 6846,6.1,1.7,24.1,70,105,26,5.5
Kabel 6847,6,2.3,17.6,80,-21,18,3.1
Kabel 6848,5.6,1.6,24.5,90,150,21,3.8
Kabel 6849,8.6,2.8,25.8,100,37,20,4
Kabel 6850,4.8,2.3,20.2,80,-25,20,5
Kabel 6851,8.2,1.8,12.9,70,122,23,4
Kabel 6852,1.9,1.7,22.6,50,73,17,3.5
Kabel 6853,3.6,1.7,21.4,70,65,23,3.2
Kabel 6854,8.9,2,10.2,100,-18,26,3.6
Kabel 6855,2.4,2.2,10.9,60,6,20,3.6
Kabel 6856,7.7,2.7,8.2,80,139,21,2.5
Kabel 6857,5.9,2.1,26.6,90,84,24,3.6
Kabel 6858,9.6,1.9,26,60,-15,20,4.3
Kabel 6859,8.3,2.7,23.4,70,120,26,2.5
Kabel 6860,2.2,2.1,22.7,50,71,20,3
Kabel 6861,1.5,2.5,20.4,100,63,17,3.8
Kabel 6862,1.2,2.2,9.8,60,-37,22,2.7
Kabel 6863,9.3,2.8,8,80,25,22,4.6
Kabel 6864,3.4,2.4,19.2,60,64,17,2.4
Kabel 6865,6.1,2.4,25.1,60,69,25,4
Kabel 6866,2.3,2.2,13.4,90,-22,23,3.4
Kabel 6867,1.1,1.9,8.7,70,83,14,5.2
Kabel 6868,5.8,2.1,13,90,64,14,4.8
Kabel 6869,7.9,1.6,13.7,90,144,25,2.9
Kabel 6870,1.9,2.1,26.6,80,71,18,3.3
Kabel 6871,8.7,2.2,15,70,91,15,2.2
Kabel 6872,5.1,2.8,16.6,80,-10,14,3.3
Kabel 6873,9.3,2.4,24.4,50,17,17,5.5
Kabel 6874,3.1,1.7,13.2,100,89,26,2.7
Kabel 6875,2.2,1.8,19,80,136,19,2.9
Kabel 6876,2.9,2.3,9.7,60,75,23,4.1
Kabel 6877,1.6,2.6,15.2,80,2,21,3.5
Kabel 6878,3.8,2.1,21.1,50,148,27,3.2
Kabel 6879,8.3,2.4,27.1,80,-8,14,5.6
Kabel 6880,9.9,2.4,18.7,60,137,17,2.4
Kabel 6881,9.2,2.3,27.8,90,-28,18,5.2
Kabel 6882,1.5,1.9,10.9,90,-17,24,5.4
Kabel 6883,8.6,2.6,10.4,90,111,19,5.5
Kabel 6884,1.1,2.2,12.1,90,-25,24,4.9
Kabel 6885,9.2,1.7,10.8,60,7,17,2.5
Kabel 6886,9.2,2.6,22.2,60,98,21,5.3
Kabel 6887,4.8,2.4,9.8,70,8,20,3.3
Kabel 6888,3,2.3,25.1,60,8,23,4.7
Kabel 6889,2.8,1.7,15.1,80,79,26,5.6
Kabel 6890,1.2,2.3,10.1,60,-7,20,2.5
Kabel 6891,7.9,2.6,14,70,141,16,2.5
Kabel 6892,5.8,2.3,12.9,80,4,26,2.9
Kabel 6893,8.2,2,8.3,50,52,24,2.1
Kabel 6894,1.1,1.7,17,60,-26,19,3.6
Kabel 6895,8.7,2.7,18.2,80,-39,23,4.2
Kabel 6896,6,2.3,26,80,-11,26,4.4
Kabel 6897,8.3,2.6,25,90,-6,18,4.3
Kabel 6898,3.9,2.5,24.9,100,130,20,5.4
Kabel 6899,8,1.9,12.4,70,82,15,3
Kabel 6900,3.5,1.8,27.9,60,-35,25,4.4
Kabel 6901,1.5,2.8,19,50,96,18,4.7
Kabel 6902,5.1,1.8,27.1,80,66,21,2.9
Kabel 6903,1.9,1.9,23.6,80,132,13,3.9
Kabel 6904,2,2.1,23.1,80,8,14,4.5
Kabel 6905,3.3,1.7,11,70,120,13,5.5
Kabel 6906,4.3,2.6,12.8,100,32,16,2.3
Kabel 6907,4.9,2.2,23.5,80,-19,16,4.9
Kabel 6908,9.8,2,25.1,70,148,18,4.2
Kabel 6909,5.8,2.5,18.6,80,21,14,3
Kabel 6910,4.4,2.6,16.9,90,13,14,2.1
Kabel 6911,8,1.9,10.3,80,54,17,2.2
Kabel 6912,4.2,2.4,21.3,100,83,21,3.5
Kabel 6913,5.6,2.4,12.3,100,6,19,4.8
Kabel 6914,7.6,2.4,13.5,80,-31,17,4.9
Kabel 6915,1.6,2.3,22.7,70,-35,24,3.4
Kabel 6916,3.3,2.7,21.6,70,8,23,3.5
Kabel 6917,4.6,1.6,13.3,60,111,16,3.4
Kabel 6918,9.3,2.5,11.5,100,132,15,3.5
Kabel 6919,3.9,1.8,26.7,90,91,15,3.1
Kabel 6920,8.8,1.8,18.6,100,16,20,4
Kabel 6921,6.2,1.9,9.8,70,-4,20,5
Kabel 6922,9.1,2.7,24.6,60,-27,18,2.1
Kabel 6923,9.8,1.9,11.4,60,16,14,4.3
Kabel 6924,4.2,2.2,22.1,70,-22,21,5.3
Kabel 6925,7.9,2.5,8.8,100,-8,18,5.2
Kabel 6926,3.3,1.7,25.6,80,129,27,4.4
Kabel 6927,7,1.7,9.9,90,-21,16,4.1
Kabel 6928,9.7,1.7,23.9,50,-26,25,2.9
Kabel 6929,7.4,2.2,11,60,107,27,4.3
Kabel 6930,7.2,2.3,16.1,70,50,21,4.8
Kabel 6931,6.2,2.6,15,60,-35,14,2.1
Kabel 6932,8.9,1.8,21.6,90,9,27,5.3
Kabel 6933,6.2,1.7,19,90,7,20,4.5
Kabel 6934,8.7,1.8,23.2,90,40,20,5.9
Kabel 6935,8.2,2,11.4,70,107,27,5.6
Kabel 6936,8,2.6,9.6,80,64,27,4.3
Kabel 6937,7.1,2.5,11.9,70,72,23,2.5
Kabel 6938,2.6,2.2,19.9,80,-14,23,5.3
Kabel 6939,4.9,2.5,14,100,20,23,5.1
Kabel 6940,1.9,2.3,14.6,50,-26,26,5.4
Kabel 6941,7.1,2.7,21.2,60,73,18,5.3
Kabel 6942,1.6,2,12.8,90,-5,14,2.9
Kabel 6943,7,1.7,11.9,80,-38,26,2.3
Kabel 6944,1.5,1.7,11.8,90,124,20,5.1
Kabel 6945,7.6,1.7,10.1,60,150,16,3
Kabel 6946,3.3,1.8,17.7,90,59,22,3.2
Kabel 6947,6.4,2.2,26.6,60,80,22,3.6
Kabel 6948,9.4,2.1,27.9,60,120,25,4.4
Kabel 6949,3.3,2,8.6,50,136,25,5.8
Kabel 6950,5.6,2,24,100,150,20,5.9
Kabel 6951,6,2.5,13.8,90,141,26,5.4
Kabel 6952,5.6,2.7,24.9,80,88,23,4.1
Kabel 6953,3.3,2.6,13.5,60,92,20,5.6
Kabel 6954,8.1,2,15.6,60,131,27,3.7
Kabel 6955,9.6,1.6,27.8,100,25,25,4.4
Kabel 6956,8.6,2.6,25.8,90,133,24,3.3
Kabel 6957,9.2,2.1,21.8,50,-12,24,4.9
Kabel 6958,6.8,1.7,8.7,80,30,16,3.9
Kabel 6959,8.8,1.9,20.4,100,102,16,5.6
Kabel 6960,2.2,2.2,22.6,70,-5,18,2.8
Kabel 6961,7.5,2.3,15.3,70,-8,15,4.7
Kabel 6962,8.6,1.8,25.6,100,18,15,3.6
Kabel 6963,7.4,1.9,13.2,80,122,15,2.2
Kabel 6964,2.3,2,27,70,28,23,3.8
Kabel 6965,4.4,1.8,14.8,80,69,16,4.6
Kabel 6966,6.7,2.5,22.6,80,-10,25,4.6
Kabel 6967,9.6,1.8,18.3,70,-19,22,5.3
Kabel 6968,2.6,2.8,16.1,90,107,19,2
Kabel 6969,6.9,1.9,24.3,80,79,25,5.7
Kabel 6970,3.3,2.3,11.4,70,72,21,3.5
Kabel 6971,6.5,2.2,21.2,100,99,17,4.4
Kabel 6972,6.6,1.6,16.4,80,70,24,4.1
Kabel 6973,5.9,2.4,11.2,50,36,22,4.4
Kabel 6974,3.4,2.1,13.6,90,-38,26,3
Kabel 6975,4,2,20.8,50,83,17,4.8
Kabel 6976,5,1.6,19.7,70,104,24,3.1
Kabel 6977,5.2,1.6,13.9,90,-29,16,4.3
Kabel 6978,5.7,2.2,24.6,60,37,20,3
Kabel 6979,9.5,1.8,10.8,80,-38,14,5.9
Kabel 6980,3.2,2.2,8.4,90,123,25,5.5
Kabel 6981,4.1,2.1,18.7,80,5,15,3.6
Kabel 6982,2.6,2.8,25.9,60,101,16,3.5
Kabel 6983,7.9,2.2,19.4,50,51,13,3.8
Kabel 6984,8.4,2.4,12.7,70,42,21,5.4
Kabel 6985,5.4,1.8,23.6,50,-35,20,4.1
Kabel 6986,2.1,2.1,24.4,50,144,15,5.3
Kabel 6987,9.4,2.3,8.2,50,48,16,3.2
Kabel 6988,5.7,1.9,23.4,70,53,16,3.4
Kabel 6989,5.1,2.2,10.5,70,40,14,4.8
Kabel 6990,5.2,2.7,16.2,100,122,14,2.2
Kabel 6991,2.3,1.8,18,70,106,23,2.2
Kabel 6992,5.9,1.7,17.5,70,102,21,5.5
Kabel 6993,8.3,1.8,24.8,70,18,14,5.2
Kabel 6994,1.2,2.3,26.6,50,131,19,4.3
Kabel 6995,6.5,2.4,21.8,80,75,18,4.6
Kabel 6996,3.5,2.7,10.2,70,84,20,2.2
Kabel 6997,1.4,1.9,22.6,90,102,20,5.4
Kabel 6998,8.5,1.8,24.5,60,13,25,3.3
Kabel 6999,8.8,1.7,16.9,50,6,21,2
Kabel 7000,3.4,2.5,25.9,100,-32,25,5.9
Kabel 7001,3.9,2.5,25.8,100,108,17,4.8
Kabel 7002,1.8,1.8,25.7,70,-37,26,2
Kabel 7003,4.8,2.2,24.4,80,139,20,4.4
Kabel 7004,7.2,1.6,8.1,60,76,18,4.6
Kabel 7005,2.9,2.3,9.8,80,47,25,3
Kabel 7006,1.5,1.7,15.3,90,58,18,4.9
Kabel 7007,1.4,2.7,10,70,-30,20,2.5
Kabel 7008,4.7,2.5,23.3,80,48,14,5.8
Kabel 7009,2.6,1.7,11,50,93,27,2.1
Kabel 7010,8.9,1.9,27.1,80,132,18,4.6
Kabel 7011,8.3,1.7,9.5,80,134,22,2.7
Kabel 7012,6.8,2.4,27.1,60,145,16,3.3
Kabel 7013,3.1,1.7,20.3,80,9,22,4.7
Kabel 7014,3.1,2.6,9.5,50,36,14,5.1
Kabel 7015,5.7,1.9,8.7,60,126,23,4
Kabel 7016,8.7,1.8,19.2,70,14,25,6
Kabel 7017,3.3,2.5,15.6,80,8,23,3.1
Kabel 7018,5.7,2.2,23.9,70,143,16,2.1
Kabel 7019,3,2,26.5,90,91,19,4.2
Kabel 7020,5.5,2.6,20.7,60,75,14,3.5
Kabel 7021,3.7,2.5,21.8,70,-39,23,4.1
Kabel 7022,4.5,2.5,24.5,70,36,14,5.8
Kabel 7023,3.1,1.8,13.5,60,-39,25,3.7
Kabel 7024,1.1,2.6,14.2,80,64,24,5
Kabel 7025,6.2,1.7,26.6,100,-34,16,5
Kabel 7026,6.8,2,25.7,100,61,19,5.7
Kabel 7027,4.7,2.2,12,80,36,18,5
Kabel 7028,2.8,2.4,9.1,100,113,22,3.9
Kabel 7029,2.8,1.6,22.1,70,-6,25,3.4
Kabel 7030,7.3,2.6,11.2,100,55,16,3.3
Kabel 7031,5.9,2.1,11.4,90,96,19,4.5
Kabel 7032,1.2,2.5,11.6,70,-2,20,2.5
Kabel 7033,2.1,1.7,15.8,60,107,19,5
Kabel 7034,6.4,2.7,14.7,90,128,17,4.2
Kabel 7035,8.9,2.3,17.1,80,7,18,4.7
Kabel 7036,6.9,2.4,19.4,80,79,26,4.3
Kabel 7037,1.7,2.7,16.3,70,-16,22,4.4
Kabel 7038,8.9,2.6,27.8,60,50,25,2.4
Kabel 7039,2.5,2,10.3,50,15,27,3
Kabel 7040,4.6,1.6,14.5,80,82,27,3.2
Kabel 7041,9.9,2.3,18.7,80,143,26,4.8
Kabel 7042,7,2,10.6,90,104,15,5.8
Kabel 7043,8.6,1.7,23.2,80,66,15,5
Kabel 7044,4.7,2.3,9.5,60,60,25,4.9
Kabel 7045,5.7,2.4,9.1,70,-15,19,5.8
Kabel 7046,9.7,2.4,10.5,70,24,21,4.5
Kabel 7047,1.8,1.8,11.8,70,9,14,2.3
Kabel 7048,4.6,2.5,10.2,60,20,16,3.1
Kabel 7049,2,2.6,23.5,90,-18,19,2.5
Kabel 7050,9.5,2.6,9.2,60,-6,13,3.7
Kabel 7051,8,2.4,12.2,90,60,19,4.9
Kabel 7052,9.5,2.8,11.8,50,-17,20,2.4
Kabel 7053,7.5,2.1,11.7,90,54,25,5.8
Kabel 7054,5.7,2.5,16.5,100,19,20,3.1
Kabel 7055,6.4,2.2,27.3,50,-19,15,3.2
Kabel 7056,2.1,1.8,20.4,90,68,20,2
Kabel 7057,4.2,1.9,14.2,80,142,16,3.9
Kabel 7058,8.8,1.9,20.6,70,93,20,2.5
Kabel 7059,9.1,1.7,12.7,80,86,25,4.6
Kabel 7060,4.1,1.6,15.9,50,23,20,3.1
Kabel 7061,6.8,2.3,16.7,100,19,25,3.7
Kabel 7062,9.5,1.9,27,80,-3,24,2.7
Kabel 7063,2.1,2,12.5,60,8,26,2.3
Kabel 7064,9,2.2,8.4,60,32,13,2.6
Kabel 7065,5.8,2.1,10.8,60,119,19,4.3
Kabel 7066,5,1.9,17.4,60,37,19,3.2
Kabel 7067,8.2,2.4,15.1,50,16,16,3.8
Kabel 7068,9.5,1.9,20.2,80,43,23,3.3
Kabel 7069,4.8,1.7,23,60,109,20,4.8
Kabel 7070,8.2,2.3,14.1,70,48,19,4.3
Kabel 7071,5.4,1.6,27.3,50,80,24,5.1
Kabel 7072,9.6,2.7,19.5,80,74,23,5.9
Kabel 7073,2.8,1.7,17.3,70,73,24,4.5
Kabel 7074,4.8,2.2,16,50,94,20,4.5
Kabel 7075,2.6,2,8.9,80,95,16,4.3
Kabel 7076,2.8,1.8,11.8,100,112,20,4.1
Kabel 7077,5.4,2.8,23.3,70,-5,16,3.5
Kabel 7078,7.3,2.1,19.8,50,148,16,4.9
Kabel 7079,4.4,2,27.5,50,149,16,4.2
Kabel 7080,5.4,2.5,12,90,31,27,6
Kabel 7081,2.5,2.5,25.2,50,63,26,3
Kabel 7082,3.1,2.1,21.3,80,-38,27,5.9
Kabel 7083,4.7,2.1,15.9,80,107,13,4.2
Kabel 7084,4.9,2.2,21.2,80,126,14,3.9
Kabel 7085,8.9,2.7,11.4,100,65,26,3
Kabel 7086,1.5,2.4,24.8,80,87,16,2
Kabel 7087,1.8,2.2,22.6,90,126,16,4
Kabel 7088,4.3,2.1,21.1,80,90,17,4.4
Kabel 7089,9.1,1.6,18.7,60,101,22,5.4
Kabel 7090,2.1,1.9,13,50,111,20,5
Kabel 7091,5.9,2.6,25.2,50,27,25,3.1
Kabel 7092,7.4,2.1,15.4,70,145,14,5.1
Kabel 7093,6.5,2,12.7,70,56,14,5
Kabel 7094,2.9,2.8,15.1,50,44,17,2.1
Kabel 7095,8.5,2.3,25.6,70,-7,20,4.9
Kabel 7096,2.2,1.6,24.5,90,133,22,3.3
Kabel 7097,9.3,2.1,24.2,60,40,18,2.7
Kabel 7098,5.8,2.2,20.4,50,123,23,3.4
Kabel 7099,5.6,2.1,23.4,80,10,13,2.6
Kabel 7100,4.7,2.2,26.6,100,127,22,2.4
Kabel 7101,9,2.5,14,80,67,20,2.6
Kabel 7102,2,2,10.3,50,99,16,2.1
Kabel 7103,3.4,2.4,24.7,90,72,24,5.9
Kabel 7104,5.3,2.6,10.3,80,-17,21,4
Kabel 7105,7.3,2.1,21.5,50,-24,16,5.3
Kabel 7106,6.3,1.8,20,70,10,17,2.9
Kabel 7107,6.9,2,13,90,67,26,3.6
Kabel 7108,5.6,1.8,21.8,80,144,17,3.1
Kabel 7109,8.1,2.3,11.9,50,145,26,4.9
Kabel 7110,2.6,1.8,20.2,80,95,20,5.8
Kabel 7111,3.5,2.7,20.9,90,117,22,3
Kabel 7112,2.1,2.6,14.5,60,8,21,5.6
Kabel 7113,2.7,2.3,19.7,80,35,23,4.7
Kabel 7114,2.5,1.8,20.5,70,-8,13,4.3
Kabel 7115,7.6,2.5,13,60,98,17,5.4
Kabel 7116,4.5,2.6,16.9,90,79,20,4.6
Kabel 7117,4.7,1.9,9.1,50,53,21,2.1
Kabel 7118,5.7,2.1,18.7,90,-7,14,5.4
Kabel 7119,7.6,2.2,9.7,60,91,14,4.7
Kabel 7120,8.1,2.2,27,80,69,21,2.4
Kabel 7121,5,2.2,22.8,70,108,26,5.1
Kabel 7122,1.7,2.1,13,80,103,24,2.1
Kabel 7123,9.6,1.8,25,50,128,14,5.2
Kabel 7124,4,1.8,8.3,70,-2,16,4.7
Kabel 7125,9.8,1.7,17.2,80,143,13,2.1
Kabel 7126,2.7,2.8,25.6,90,55,15,3.3
Kabel 7127,2.1,2.3,23.3,50,117,19,4.4
Kabel 7128,5.9,1.7,9.8,60,98,14,3.2
Kabel 7129,2.5,2.5,18.5,60,16,21,2.9
Kabel 7130,1.1,1.9,24.6,70,142,24,4.8
Kabel 7131,8.7,1.8,8.6,50,-26,13,4
Kabel 7132,8.9,1.9,12.3,90,36,19,3.5
Kabel 7133,2.7,2.2,20.1,90,-10,18,5.3
Kabel 7134,9.7,1.7,10.5,60,133,26,4.8
Kabel 7135,9.7,1.9,8.9,70,25,15,3.4
Kabel 7136,1.2,2.1,8.3,60,-2,24,4
Kabel 7137,2.4,2.3,8.7,90,116,16,3
Kabel 7138,2.9,1.7,16.4,90,71,22,2.7
Kabel 7139,4.2,2.4,17.5,80,-16,16,2.8
Kabel 7140,1.8,2.5,9.2,60,36,15,2.2
Kabel 7141,1.5,2.7,13.5,100,93,18,4.1
Kabel 7142,2.9,1.9,25.1,80,-35,14,5.6
Kabel 7143,6.8,1.9,22,60,144,18,2.8
Kabel 7144,3.5,2.4,22.2,50,131,14,2.8
Kabel 7145,1.4,2.2,14.1,70,90,24,2.5
Kabel 7146,5.7,1.8,18.2,90,112,15,4.4
Kabel 7147,6.8,2,23.5,80,83,15,2.5
Kabel 7148,3.6,1.7,11.7,60,23,19,3.7
Kabel 7149,1.6,1.9,9.1,60,-12,17,2
Kabel 7150,8.5,1.9,11.9,70,121,16,2.5
Kabel 7151,4.5,2,23,90,68,23,4
Kabel 7152,4.1,2.7,17.9,80,17,16,2.2
Kabel 7153,6.8,2.3,14.4,70,140,20,2.5
Kabel 7154,2,2,16,60,68,15,5.5
Kabel 7155,2.7,1.8,17.2,90,125,26,3.6
Kabel 7156,7.6,2,13.9,60,12,25,4.5
Kabel 7157,5,1.8,24.7,90,-29,16,5.8
Kabel 7158,8.9,2.4,26.8,80,-34,22,3.2
Kabel 7159,8.7,2,15.4,90,29,23,2.8
Kabel 7160,4.8,2.1,24.1,70,98,23,6
Kabel 7161,8.3,2.7,14.3,80,8,20,2.4
Kabel 7162,2.3,1.7,20.3,80,-35,26,3.7
Kabel 7163,2.3,1.8,24.3,80,-32,20,2.4
Kabel 7164,4.1,2.7,18.5,90,28,22,4.9
Kabel 7165,8,1.7,14.5,60,135,22,2.9
Kabel 7166,8.2,2.7,27.9,70,109,18,5.4
Kabel 7167,4.5,2.2,11.5,80,115,19,5.9
Kabel 7168,1.2,2.8,16.4,50,29,14,2.2
Kabel 7169,4.8,2.7,15.8,100,-3,22,2.3
Kabel 7170,3.8,1.9,25.7,60,146,16,4.1
Kabel 7171,4.3,2,24.2,90,119,21,5
Kabel 7172,4.1,2.7,15.4,60,45,26,3
Kabel 7173,3.3,2.2,25.1,90,11,18,2.9
Kabel 7174,5,2.2,16.8,60,0,24,5
Kabel 7175,2.9,1.7,19.5,100,48,14,2.9
Kabel 7176,2.2,2.4,22.1,60,-2,24,4.7
Kabel 7177,8,2.2,24.5,50,35,17,3
Kabel 7178,7.5,2.4,13.7,90,90,24,4.1
Kabel 7179,9.7,1.9,23.4,60,44,18,5.8
Kabel 7180,5.8,2.1,26.9,80,135,24,5.6
Kabel 7181,7.5,2,14,50,135,20,5.1
Kabel 7182,3.1,2.8,23,80,64,14,4.7
Kabel 7183,2.7,2.5,22.7,70,17,24,6
Kabel 7184,8,1.8,21.6,50,70,19,5.1
Kabel 7185,7.4,1.6,20.1,70,91,24,5.5
Kabel 7186,6.4,2.7,17.2,100,91,26,4.5
Kabel 7187,3.8,2.6,22.6,100,-28,16,4.5
Kabel 7188,5.8,1.9,13.2,50,130,19,5.2
Kabel 7189,8.7,2.5,14.5,90,134,16,3
Kabel 7190,4.1,2,14,50,84,27,5.4
Kabel 7191,5,2.4,16.4,50,46,26,5.9
Kabel 7192,4.7,2.6,10.4,90,33,26,2.9
Kabel 7193,3.6,2.1,23.2,90,89,18,5.9
Kabel 7194,7.9,1.7,22,70,-8,24,4.9
Kabel 7195,4.8,2.3,23.8,60,59,21,3.4
Kabel 7196,8.4,2,12,60,-11,19,5.4
Kabel 7197,6.1,2,21.3,60,138,15,4.5
Kabel 7198,7.6,2.7,8.4,100,-36,22,2.8
Kabel 7199,6.7,2.3,10.3,80,61,16,5.3
Kabel 7200,7.9,1.8,16.4,70,38,27,5.9
Kabel 7201,8.9,2.2,22.3,60,108,18,3.1
Kabel 7202,9.6,2.7,10.2,100,10,26,5.2
Kabel 7203,3.5,2.5,18.1,90,49,20,3.1
Kabel 7204,8.3,2.6,10.1,80,2,19,4.7
Kabel 7205,2.4,1.8,10.3,80,-9,27,3.9
Kabel 7206,8.7,2.7,25.7,70,55,14,4.5
Kabel 7207,9.3,1.8,15.9,90,42,26,5.9
Kabel 7208,8.4,2.2,15.5,90,4,16,3.2
Kabel 7209,7.5,1.9,20.3,100,17,20,4.4
Kabel 7210,2.3,2.6,27.7,80,76,22,3.1
Kabel 7211,9.1,2.2,22,60,56,25,2.3
Kabel 7212,1.9,2,11.6,50,51,17,4.8
Kabel 7213,5.4,1.9,18,80,71,21,4
Kabel 7214,3.6,2.1,14.2,90,125,20,5.7
Kabel 7215,1.2,2.3,20.1,90,4,20,5.1
Kabel 7216,8.7,1.8,12.8,100,11,17,3.7
Kabel 7217,8.5,2.3,22.3,90,-33,20,2.4
Kabel 7218,7.4,2.4,10.3,60,33,13,4.4
Kabel 7219,5.9,2.6,20.6,100,88,19,2.4
Kabel 7220,9.7,2.6,18.5,70,-39,18,4.4
Kabel 7221,4,2,20.5,50,-1,26,3.3
Kabel 7222,1.6,2.7,12.6,100,-19,20,4.8
Kabel 7223,3.5,2.7,16.5,70,12,20,2.4
Kabel 7224,2.7,2.7,28,70,108,19,5.9
Kabel 7225,3.8,1.7,17.8,90,67,19,5
Kabel 7226,4.9,1.7,25,70,96,21,2
Kabel 7227,8.9,1.7,10.3,90,36,20,5.1
Kabel 7228,5.1,2.2,15.1,100,122,13,4.8
Kabel 7229,9.7,1.8,10.1,70,32,16,3.2
Kabel 7230,5.1,2.2,11.2,70,132,18,2.9
Kabel 7231,3.1,2.7,16.3,60,-25,16,2.4
Kabel 7232,8.5,2.7,19.2,50,115,18,5.4
Kabel 7233,8.6,2.4,11.7,90,20,26,3
Kabel 7234,9.9,2.3,10,80,104,21,5.8
Kabel 7235,5.1,1.8,18.7,100,52,23,4
Kabel 7236,4.6,1.9,27.3,90,-9,26,4
Kabel 7237,5.2,2.7,13.6,60,92,15,4.6
Kabel 7238,6,2.5,21.6,50,14,27,4.5
Kabel 7239,8.3,1.7,12.5,60,99,20,2.5
Kabel 7240,7.4,2.2,27.8,80,120,19,4.4
Kabel 7241,3.4,2,26.6,90,122,14,4.7
Kabel 7242,2.7,2.8,16.3,90,-27,15,2.5
Kabel 7243,5,2.4,22,70,-16,16,2.2
Kabel 7244,8.5,2.2,11.4,70,45,15,5.8
Kabel 7245,5.9,1.8,13.4,60,84,20,4.2
Kabel 7246,4,2.7,20.8,70,96,19,3.4
Kabel 7247,8,1.6,10.3,80,34,18,6
Kabel 7248,3.1,2.3,19,70,20,16,2.3
Kabel 7249,8.6,2.6,18.2,60,114,23,4.7
Kabel 7250,3.2,1.7,23.4,90,121,22,4.3
Kabel 7251,4.6,1.8,27.5,80,-29,26,4.1
Kabel 7252,3.6,2.1,25,90,57,23,4.7
Kabel 7253,3.7,2.1,24.4,90,-39,14,4
Kabel 7254,5.4,2.5,9.1,80,121,16,4.7
Kabel 7255,6.7,1.8,15.1,70,-6,25,2
Kabel 7256,4.6,2.1,22.7,100,89,17,5.1
Kabel 7257,2.6,2.7,19.7,100,111,16,5.9
Kabel 7258,8.9,2.3,25.1,80,109,23,3.3
Kabel 7259,6.3,2.2,9.9,70,-17,16,5.2
Kabel 7260,2.4,2.3,15.4,90,-28,15,5.8
Kabel 7261,5.9,2.2,24.4,100,-3,17,2.6
Kabel 7262,7,1.6,13.4,90,124,18,4.2
Kabel 7263,9.1,2.2,10,60,2,24,2.9
Kabel 7264,2.1,2.3,10.1,70,53,13,4.3
Kabel 7265,6.7,1.6,14.8,60,89,26,3
Kabel 7266,4.9,2.4,11.1,90,113,20,2.3
Kabel 7267,5.9,2.5,16.9,60,-22,27,4
Kabel 7268,6.2,2.6,20.4,60,140,24,2.5
Kabel 7269,7.9,2.8,27.9,90,34,20,2.9
Kabel 7270,5.7,2.3,23.2,50,27,25,2
Kabel 7271,7,2.5,16,60,120,15,2.8
Kabel 7272,1.4,2.7,12.7,80,49,16,5.2
Kabel 7273,3.2,2.1,8.4,90,36,22,4.7
Kabel 7274,7.4,1.6,8.4,60,37,22,3.4
Kabel 7275,8.4,2.7,25.2,100,83,27,3.6
Kabel 7276,1.8,1.9,23.7,60,129,20,4.7
Kabel 7277,2.9,1.8,20.1,90,3,26,4.7
Kabel 7278,8.2,1.9,26,100,2,23,5.8
Kabel 7279,8.6,2.5,25.9,80,122,13,5.9
Kabel 7280,4.8,1.8,21.2,80,45,20,2.6
Kabel 7281,5.9,2.2,20.9,70,144,17,4.2
Kabel 7282,9.5,1.9,9.9,70,118,14,5.4
Kabel 7283,2.7,2.2,26.7,80,34,18,4
Kabel 7284,3.7,2.4,15.3,100,85,16,5.4
Kabel 7285,5,2.4,15.1,80,93,19,5.3
Kabel 7286,3.5,2.6,27,90,100,17,3.6
Kabel 7287,5,2.2,8.1,60,131,15,5.4
Kabel 7288,1.2,2,19.6,70,15,25,5.6
Kabel 7289,5,2.5,13.2,90,85,26,5.8
Kabel 7290,8.8,1.7,13.4,70,-0,17,5.9
Kabel 7291,8.4,2.5,11,100,111,21,4.7
Kabel 7292,2.8,1.9,18.7,50,42,14,5
Kabel 7293,3.1,2.4,22.2,80,10,16,3.8
Kabel 7294,3.5,2.2,10.8,60,2,21,2.6
Kabel 7295,8.3,2.2,24.2,90,-35,23,5.7
Kabel 7296,8.8,2.3,15.3,50,129,16,3.7
Kabel 7297,1.5,1.8,17.3,70,55,13,2.7
Kabel 7298,6.8,1.9,21.5,50,77,18,2.8
Kabel 7299,8.6,2.7,14.5,60,58,21,2.7
Kabel 7300,5.1,1.8,26.7,50,44,18,5.2
Kabel 7301,8.3,2.1,21.8,70,143,14,3.7
Kabel 7302,7.2,1.6,10.7,70,23,14,2.2
Kabel 7303,2.7,2.4,11.3,50,-27,17,4.2
Kabel 7304,2,1.7,10.1,100,71,24,3.8
Kabel 7305,6.1,2.5,18.4,80,-27,24,4.7
Kabel 7306,1.7,1.7,16.2,60,47,25,4.8
Kabel 7307,7.3,1.7,25.6,90,-12,25,2
Kabel 7308,9.6,2.6,12.9,100,42,17,4.1
Kabel 7309,5.9,2.4,10.8,90,69,27,2.3
Kabel 7310,5,1.7,11.3,70,51,23,4.9
Kabel 7311,9.8,2.1,25.2,90,52,15,5.9
Kabel 7312,8.1,1.9,23.5,60,28,24,5.1
